Time,Open,High,Low,Latest,Change,%Change,Volume
10/03/2025,0.37,0.4,0.37,0.39,0.02,5.41%,1268278
11/03/2025,0.39,0.39,0.37,0.375,-0.015,-3.85%,1148713
12/03/2025,0.38,0.38,0.365,0.365,-0.01,-2.67%,747183
13/03/2025,0.37,0.37,0.355,0.355,-0.01,-2.74%,1073898
14/03/2025,0.36,0.37,0.36,0.37,0.015,4.23%,249854
17/03/2025,0.37,0.37,0.36,0.365,-0.005,-1.35%,627813
18/03/2025,0.365,0.38,0.365,0.37,0.005,1.37%,432840
19/03/2025,0.37,0.38,0.37,0.38,0.01,2.70%,306052
20/03/2025,0.38,0.38,0.375,0.38,0,0.00%,92664
21/03/2025,0.385,0.385,0.375,0.375,-0.005,-1.32%,116874
24/03/2025,0.37,0.375,0.36,0.36,-0.015,-4.00%,771570
25/03/2025,0.36,0.365,0.352,0.355,-0.005,-1.39%,1129206
26/03/2025,0.35,0.35,0.315,0.32,-0.035,-9.86%,2593834
27/03/2025,0.32,0.32,0.315,0.315,-0.005,-1.56%,1148787
28/03/2025,0.315,0.317,0.29,0.29,-0.025,-7.94%,2050460
31/03/2025,0.29,0.29,0.268,0.27,-0.02,-6.90%,1746176
1/04/2025,0.27,0.27,0.252,0.26,-0.01,-3.70%,1617934
2/04/2025,0.265,0.285,0.25,0.28,0.02,7.69%,1708930
3/04/2025,0.29,0.29,0.255,0.255,-0.025,-8.93%,1224992
4/04/2025,0.25,0.26,0.245,0.25,-0.005,-1.96%,1009407
7/04/2025,0.24,0.265,0.225,0.25,0,0.00%,1465420
8/04/2025,0.25,0.26,0.245,0.26,0.01,4.00%,426357
9/04/2025,0.27,0.27,0.245,0.25,-0.01,-3.85%,543347
10/04/2025,0.265,0.285,0.26,0.26,0.01,4.00%,1882395
11/04/2025,0.255,0.26,0.25,0.255,-0.005,-1.92%,603839
14/04/2025,0.255,0.26,0.25,0.255,0,0.00%,327400
15/04/2025,0.27,0.32,0.268,0.3,0.045,17.65%,2038596
16/04/2025,0.305,0.305,0.28,0.285,-0.015,-5.00%,774342
17/04/2025,0.29,0.3,0.275,0.28,-0.005,-1.75%,503559
22/04/2025,0.28,0.28,0.265,0.27,-0.01,-3.57%,570919
23/04/2025,0.27,0.295,0.27,0.285,0.015,5.56%,1175498
24/04/2025,0.285,0.287,0.28,0.28,-0.005,-1.75%,482037
28/04/2025,0.29,0.29,0.28,0.285,0.005,1.79%,1009324
29/04/2025,0.285,0.3,0.275,0.3,0.015,5.26%,1497931
30/04/2025,0.3,0.32,0.278,0.32,0.02,6.67%,1663341
1/05/2025,0.295,0.31,0.29,0.305,-0.015,-4.69%,630030
2/05/2025,0.3,0.305,0.295,0.295,-0.01,-3.28%,987578
5/05/2025,0.325,0.335,0.3,0.3,0.005,1.69%,1807442
6/05/2025,0.31,0.31,0.282,0.285,-0.015,-5.00%,1326160
7/05/2025,0.285,0.3,0.28,0.3,0.015,5.26%,251709
8/05/2025,0.3,0.3,0.29,0.295,-0.005,-1.67%,426539
9/05/2025,0.3,0.305,0.285,0.285,-0.01,-3.39%,290279
12/05/2025,0.29,0.31,0.285,0.29,0.005,1.75%,208473
13/05/2025,0.3,0.3,0.287,0.295,0.005,1.72%,255413
14/05/2025,0.305,0.305,0.285,0.295,0,0.00%,358486
15/05/2025,0.3,0.3,0.28,0.28,-0.015,-5.08%,468373
16/05/2025,0.28,0.285,0.275,0.28,0,0.00%,518310
19/05/2025,0.285,0.285,0.275,0.275,-0.005,-1.79%,145095
20/05/2025,0.275,0.28,0.26,0.26,-0.015,-5.45%,1144950
21/05/2025,0.26,0.265,0.26,0.265,0.005,1.92%,439580
22/05/2025,0.265,0.265,0.25,0.25,-0.015,-5.66%,418135
23/05/2025,0.25,0.265,0.25,0.26,0.01,4.00%,464197
26/05/2025,0.28,0.305,0.275,0.305,0.045,17.31%,1313825
27/05/2025,0.305,0.355,0.3,0.35,0.045,14.75%,2158117
28/05/2025,0.39,0.395,0.335,0.335,-0.015,-4.29%,2374844
29/05/2025,0.33,0.35,0.33,0.35,0.015,4.48%,387728
30/05/2025,0.35,0.36,0.335,0.34,-0.01,-2.86%,528080
2/06/2025,0.34,0.345,0.31,0.315,-0.025,-7.35%,713287
3/06/2025,0.31,0.31,0.298,0.305,-0.01,-3.17%,571528
