Time,Open,High,Low,Latest,Change,%Change,Volume
3/01/2000,102.45,102.45,101.36,101.55,-0.63,-0.62%,0
4/01/2000,101.61,103.27,101.46,103.26,1.71,1.68%,0
5/01/2000,103.25,104.38,102.84,104.31,1.05,1.02%,0
6/01/2000,104.26,105.52,104.01,105.26,0.95,0.91%,0
7/01/2000,105.25,105.87,104.91,105.3,0.04,0.04%,0
10/01/2000,105.27,105.37,104.38,105.2,-0.1,-0.09%,0
11/01/2000,105.2,106.29,105.06,106.05,0.85,0.81%,0
12/01/2000,106.07,106.19,105.59,105.88,-0.17,-0.16%,0
13/01/2000,105.9,106.23,105.47,106.12,0.24,0.23%,0
14/01/2000,106.03,106.38,105.5,105.84,-0.28,-0.26%,0
17/01/2000,105.84,105.86,104.68,104.82,-1.02,-0.96%,0
18/01/2000,104.81,105.73,104.81,105.67,0.85,0.81%,0
19/01/2000,105.67,106.09,105.2,105.3,-0.37,-0.35%,0
20/01/2000,105.34,105.71,105.21,105.25,-0.05,-0.05%,0
21/01/2000,105.27,105.51,104.49,104.68,-0.57,-0.54%,0
24/01/2000,105.08,105.84,104.71,105.61,0.93,0.89%,0
25/01/2000,105.63,106.03,105.54,105.95,0.34,0.32%,0
26/01/2000,105.96,106.29,105.57,105.63,-0.32,-0.30%,0
27/01/2000,105.71,105.87,104.75,105.11,-0.52,-0.49%,0
28/01/2000,105.12,107.21,104.58,107.05,1.94,1.85%,0
31/01/2000,107.02,107.52,106.62,107.3,0.25,0.23%,0
1/02/2000,107.39,107.94,107.17,107.78,0.48,0.45%,0
2/02/2000,107.78,109.03,107.76,108.14,0.36,0.33%,0
3/02/2000,108.2,108.76,107.28,107.61,-0.53,-0.49%,0
4/02/2000,107.61,108.01,107.21,107.3,-0.31,-0.29%,0
7/02/2000,107.25,108.82,107.25,108.71,1.41,1.31%,0
8/02/2000,108.63,109.69,108.63,109.43,0.72,0.66%,0
9/02/2000,109.53,109.64,108.62,109.04,-0.39,-0.36%,0
10/02/2000,109.03,109.18,108.33,109.16,0.12,0.11%,0
11/02/2000,109.2,109.76,108.85,108.85,-0.31,-0.28%,0
14/02/2000,108.9,109.05,108.08,108.83,-0.02,-0.02%,0
15/02/2000,108.86,109.32,108.49,109.03,0.2,0.18%,0
16/02/2000,109.04,109.62,108.92,109.38,0.35,0.32%,0
17/02/2000,109.34,110.64,109.34,110.64,1.26,1.15%,0
18/02/2000,110.63,111.24,110.32,111.08,0.44,0.40%,0
21/02/2000,110.85,111.43,110.43,111.21,0.13,0.12%,0
22/02/2000,111.22,111.73,110.59,110.78,-0.43,-0.39%,0
23/02/2000,110.75,111.33,110.12,111.13,0.35,0.32%,0
24/02/2000,111.12,111.48,110.61,111.29,0.16,0.14%,0
25/02/2000,111.29,111.46,110.17,110.3,-0.99,-0.89%,0
28/02/2000,110.19,110.39,108.48,109.51,-0.79,-0.72%,0
29/02/2000,109.58,110.4,109.41,110.16,0.65,0.59%,0
1/03/2000,110.17,110.31,106.63,107.23,-2.93,-2.66%,0
2/03/2000,107.15,107.93,106.64,107.75,0.52,0.48%,0
3/03/2000,107.75,108,107.37,107.72,-0.03,-0.03%,0
6/03/2000,107.82,107.92,106.77,107.53,-0.19,-0.18%,0
7/03/2000,107.53,108.1,105.85,106.2,-1.33,-1.24%,0
8/03/2000,106.2,107.48,106.07,107.17,0.97,0.91%,0
9/03/2000,107.12,107.25,106.24,106.61,-0.56,-0.52%,0
10/03/2000,106.6,106.69,106.1,106.24,-0.37,-0.35%,0
13/03/2000,106.29,106.55,104.85,105.51,-0.73,-0.69%,0
14/03/2000,105.57,105.88,104.65,105.17,-0.34,-0.32%,0
15/03/2000,105.16,106.2,104.8,105.68,0.51,0.48%,0
16/03/2000,105.6,105.8,105.15,105.45,-0.23,-0.22%,0
17/03/2000,105.45,106.69,105.39,106.68,1.23,1.17%,0
20/03/2000,106.67,107.06,106.33,106.35,-0.33,-0.31%,0
21/03/2000,106.36,107.23,106.29,106.75,0.4,0.38%,0
22/03/2000,106.79,107.15,106.54,107.05,0.3,0.28%,0
23/03/2000,107.05,107.77,107.02,107.29,0.24,0.22%,0
24/03/2000,107.3,107.65,106.81,107.05,-0.24,-0.22%,0
27/03/2000,107.08,107.13,106.63,106.71,-0.34,-0.32%,0
28/03/2000,106.76,106.76,105.79,105.79,-0.92,-0.86%,0
29/03/2000,105.8,106.33,105,105.65,-0.14,-0.13%,0
30/03/2000,105.62,105.9,104.85,105.43,-0.22,-0.21%,0
31/03/2000,105.43,106.06,102.08,102.75,-2.68,-2.54%,0
3/04/2000,103.27,105.58,102.85,104.78,2.03,1.98%,0
4/04/2000,104.72,105.76,104.17,105.12,0.34,0.32%,0
5/04/2000,105.11,105.54,104.79,104.92,-0.2,-0.19%,0
6/04/2000,104.9,105.12,104.58,104.75,-0.17,-0.16%,0
7/04/2000,104.73,105.5,104.72,105.46,0.71,0.68%,0
10/04/2000,105.39,106.85,105.32,106.43,0.97,0.92%,0
11/04/2000,106.39,107.13,106.37,106.97,0.54,0.51%,0
12/04/2000,106.94,106.98,105.28,105.82,-1.15,-1.08%,0
13/04/2000,105.82,106.1,105.64,105.9,0.08,0.08%,0
14/04/2000,105.88,106.15,104.73,104.73,-1.17,-1.10%,0
17/04/2000,104.67,105.38,103.26,104.44,-0.29,-0.28%,0
18/04/2000,104.5,104.94,104.08,104.7,0.26,0.25%,0
