Time,Open,High,Low,Latest,Change,%Change,Volume
16/04/2001,0.8882,0.8902,0.883,0.888,-0.0005,-0.06%,0
17/04/2001,0.8886,0.8907,0.8778,0.8834,-0.0046,-0.52%,0
18/04/2001,0.8834,0.89,0.8704,0.8824,-0.001,-0.11%,0
19/04/2001,0.8815,0.8985,0.881,0.898,0.0156,1.77%,0
20/04/2001,0.8976,0.9046,0.8953,0.9018,0.0038,0.42%,0
23/04/2001,0.9027,0.9078,0.895,0.8976,-0.0042,-0.47%,0
24/04/2001,0.8975,0.9017,0.8935,0.8939,-0.0037,-0.41%,0
25/04/2001,0.8939,0.8999,0.8909,0.8968,0.0029,0.32%,0
26/04/2001,0.8971,0.9041,0.895,0.9029,0.0061,0.68%,0
27/04/2001,0.9032,0.9053,0.8889,0.8918,-0.0111,-1.23%,0
30/04/2001,0.8907,0.8923,0.8854,0.8868,-0.005,-0.56%,0
1/05/2001,0.8868,0.894,0.8859,0.8933,0.0065,0.73%,0
2/05/2001,0.8931,0.8951,0.8889,0.8939,0.0006,0.07%,0
3/05/2001,0.8945,0.8976,0.8885,0.8896,-0.0043,-0.48%,0
4/05/2001,0.8896,0.9005,0.8893,0.8924,0.0028,0.31%,0
7/05/2001,0.8927,0.8937,0.8901,0.8905,-0.0019,-0.21%,0
8/05/2001,0.8902,0.8913,0.8826,0.8846,-0.0059,-0.66%,0
9/05/2001,0.885,0.8858,0.8814,0.8853,0.0007,0.08%,0
10/05/2001,0.8858,0.8917,0.8784,0.8813,-0.004,-0.45%,0
11/05/2001,0.8811,0.8818,0.874,0.8752,-0.0061,-0.69%,0
14/05/2001,0.876,0.8767,0.873,0.8742,-0.001,-0.11%,0
15/05/2001,0.8738,0.8801,0.8733,0.8785,0.0043,0.49%,0
16/05/2001,0.8779,0.8864,0.8746,0.8833,0.0048,0.55%,0
17/05/2001,0.8829,0.8879,0.8794,0.8828,-0.0005,-0.06%,0
18/05/2001,0.8825,0.8829,0.8757,0.8804,-0.0024,-0.27%,0
21/05/2001,0.8799,0.8817,0.8744,0.8772,-0.0032,-0.36%,0
22/05/2001,0.8768,0.8774,0.863,0.8647,-0.0125,-1.42%,0
